City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
466,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
467,Caravelas,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
468,Castro,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
469,Olinda,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
472,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
474,Cidreira,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
476,Joao Pessoa,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
477,Bulawayo,ZW,69.58,clear sky,-20.15,28.5833,4 On Housman Backpackers
478,Grand River South East,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
482,Grand River South East,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
483,Avarua,CK,76.05,scattered clouds,-21.2078,-159.775,Paradise Inn
484,Arraial Do Cabo,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
488,Victoria,HK,87.24,clear sky,22.2855,114.1577,Mini Hotel Central
489,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
490,Guarapari,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
492,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
493,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
494,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
496,Castro,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
499,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
500,Puerto Ayora,EC,70.47,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
502,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
503,Grand Gaube,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
504,Arraial Do Cabo,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
508,Challapata,PH,84.85,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
509,Padang,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
510,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
511,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
512,Saint-Philippe,RE,69.35,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
513,Avarua,CK,76.05,scattered clouds,-21.2078,-159.775,Paradise Inn
516,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
517,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
518,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
520,Atuona,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
523,Souillac,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
525,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
527,Arraial Do Cabo,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
529,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
531,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
534,Castro,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
535,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
536,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
537,Barcelos,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
541,Poya,NC,69.85,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
543,Conceicao Do Araguaia,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
544,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
545,Bengkulu,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
549,Arraial Do Cabo,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
551,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
555,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
560,San Cristobal,EC,70.47,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
564,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
565,Castro,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
566,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
568,Palabuhanratu,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
569,Vila Velha,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
570,Tabou,CI,76.06,moderate rain,4.423,-7.3528,hotêl doufoulougou
572,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
576,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
577,Bambous Virieux,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
578,Kieta,PG,79.18,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
579,Palabuhanratu,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
580,Curuguaty,PY,80.08,few clouds,-24.4694,-55.6945,La Esquina del Tereré
581,Tabou,CI,76.06,moderate rain,4.423,-7.3528,hotêl doufoulougou
583,Atuona,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
589,Namatanai,PG,79.18,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
595,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
598,Merauke,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
599,Irpa Irpa,PH,84.85,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
603,Faanui,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
607,Samarai,PG,79.18,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
608,Arraial Do Cabo,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
611,Mwinilunga,ZM,73.06,broken clouds,-16.1167,23.2667,Zango lodge
612,Castro,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
616,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
618,Isangel,VU,78.33,broken clouds,-19.55,169.2667,Tanna Lodge
621,Castro,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
622,Victoria,HK,87.24,clear sky,22.2855,114.1577,Mini Hotel Central
623,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
624,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
626,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
627,Bengkulu,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
630,Sijunjung,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
633,Poum,NC,69.85,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
637,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
638,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
639,Laguna,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
643,Saint-Philippe,RE,69.35,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
645,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
647,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
649,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
650,Belmonte,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
652,Atuona,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
657,Victoria,HK,87.24,clear sky,22.2855,114.1577,Mini Hotel Central
658,Lata,SB,82.06,broken clouds,-10.4544,161.9205,SanBiz Lodge
663,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
664,Quatre Cocos,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
665,Gamba,GA,75.36,overcast clouds,-3.432,10.6554,LIKWALE LODGE
667,Lichinga,MZ,76.53,scattered clouds,-14.8031,36.5372,Hotel Vision
669,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
672,Grand Gaube,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
674,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
676,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
678,Mayor Pablo Lagerenza,PY,80.08,few clouds,-24.4694,-55.6945,La Esquina del Tereré
679,Lebu,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
682,Atuona,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
683,Avarua,CK,76.05,scattered clouds,-21.2078,-159.775,Paradise Inn
684,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
686,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
688,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
689,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
692,Bambous Virieux,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
694,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
698,Lebu,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
699,Lebu,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
700,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
701,Puerto Ayora,EC,70.47,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
702,Hambantota,LK,79.77,overcast clouds,6.1241,81.1185,Bungalow 63
704,Axim,GH,75.79,broken clouds,4.8845,-1.7554,Raybow International Hotel
705,Linhares,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
707,Mahebourg,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
709,Saint-Philippe,RE,69.35,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
711,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
713,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
715,Rio Grande,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
719,Cananeia,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
721,Chinhoyi,ZW,69.58,clear sky,-20.15,28.5833,4 On Housman Backpackers
722,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
723,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
724,Japura,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
725,Natal,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
729,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
730,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
731,Cidreira,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
732,Lorengau,PG,79.18,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
738,Mahebourg,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
742,Conde,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
743,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
744,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
745,Vila Velha,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
746,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
747,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
750,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
752,Castro,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
760,Biak,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
761,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
762,Puerto Ayora,EC,70.47,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
767,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
771,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
772,Constitucion,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
773,Boyolangu,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
775,Bengkulu,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
776,Pouembout,NC,69.85,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
777,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
782,Kieta,PG,79.18,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
783,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
784,Arraial Do Cabo,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
785,Atuona,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
786,Lata,SB,82.06,broken clouds,-10.4544,161.9205,SanBiz Lodge
787,Hambantota,LK,79.77,overcast clouds,6.1241,81.1185,Bungalow 63
788,Luwuk,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
789,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
790,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
791,Atuona,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
793,Bengkulu,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
794,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
795,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
797,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
800,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
801,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
802,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
803,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
804,Lebu,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
805,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
807,Samarai,PG,79.18,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
808,Senanga,ZM,73.06,broken clouds,-16.1167,23.2667,Zango lodge
809,Jaciara,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
810,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
812,Castro,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
818,Puerto Ayora,EC,70.47,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
819,Papara,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
820,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
824,Vaitape,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
825,Manggar,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
828,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
829,Victoria,HK,87.24,clear sky,22.2855,114.1577,Mini Hotel Central
830,Jaragua Do Sul,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
831,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
832,Puerto Leguizamo,MX,65.05,light rain,19.2167,-98.8083,Hotel Mansión
834,Bambous Virieux,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
840,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
842,Arraial Do Cabo,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
845,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
847,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
848,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
849,Castro,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
850,Bengkulu,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
853,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
854,Atuona,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
855,Souillac,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
856,Puerto Ayora,EC,70.47,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
857,Tiarei,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
862,Faanui,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
863,Castro,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
865,Sorong,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
866,Namatanai,PG,79.18,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
869,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
875,Poum,NC,69.85,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
877,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
880,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
884,Puerto Ayora,EC,70.47,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
886,Vao,NC,69.85,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
889,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
890,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
894,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
895,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
898,Grand River South East,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
901,Bima,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
903,Coquimbo,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
906,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
909,Saint-Philippe,RE,69.35,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
914,Quatre Cocos,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
915,Eirunepe,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
916,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
919,Gizo,SB,82.06,broken clouds,-10.4544,161.9205,SanBiz Lodge
920,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
921,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
922,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
923,Avarua,CK,76.05,scattered clouds,-21.2078,-159.775,Paradise Inn
924,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
925,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
926,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
928,Meulaboh,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
929,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
